target,a,b,c,d
gaNa,pAriRaxa,manmaWa,gOwama,aBramuvallaBa
meGavAhana,Sawamanyu,nirgawajvAlA,suXarmA,paxmA
vinAyaka,gajAnana,jayanwa,jina,leKa
Sawakoti,vajra,vyomayAna,viXi,avirawa
prApwi,laGiman,SAkyasiMha,jayanwa,jatAjUta
ulkA,nirgawajvAlA,Orva,haricanxana,nanxika
jUwi,raya,AnakaxunxuBi,aBramuvallaBa,hemAxri
jatAjUta,kaparxa,vimAna,kinnara,BUwi
svarveSyA,apsaras,mahiman,raya,BUweSa
xiv,svarga,vyomayAna,rAjarAja,xiwisuwa
anila,ruxra,ulkA,Orva,aniruxXa
xEvawa,Axiweya,sPulifga,kacCapa,meGapuRpa
amqwa,pIyURa,vanahuwASana,SukraSiRya,avyakwa
kRipra,ASu,mahAvAwa,SafKa,appawi
SAkyasiMha,sarvArWasixXa,saFjvara,rAwricara,apsaras
vyomayAna,vimAna,prANa,svarveSyA,jvAlA
vasuxeva,AnakaxunxuBi,sanwApa,ESvarya,xevawaru
cAmuNdA,kOmArI,xasrO,pIyURa,paxmanABa
samAna,apAna,viBUwi,nirgawajvAlA,aniruxXa
Bqfgin,Sqfgin,Samana,kimpuruRa,ahiBuja
yAxasAmpawi,varuNa,skanxa,saFjvara,BUwi
kamalAsana,sawyaka,svarveSyA,sanawkumAra,SukraSiRya
kalpavqkRa,sanwAna,Sqfgin,piwAmaha,aBramuvallaBa
xAnava,xanuja,pUrvaxeva,suRTu,aparNA
aniruxXa,uRApawi,senAnI,meru,brAhmI
wrewA,xahana,AwmaBU,heramba,vEnaweya
vEnaweya,viRNuraWa,SiKAvaw,heramba,pArvawInanxana
smara,kanxarpa,waras,SOxXoxani,Axiwya
kInASa,kqwAnwa,xivOkas,arkabanXu,BUwa
SAra,naBasvaw,suraxIrGikA,kRipra,jUwi
carmamuNdA,cAmuNdA,xaSabala,mahAvAwa,pUrvaxeva
agnikaNa,sPulifga,manxAkinI,sanawkumAra,nIlalohiwa
arcis,kIlA,mInakewana,uRApawi,SrI
aSvinO,nAsawyO,sPulifga,vadavAnala,aniruxXa
inxrANI,SacI,swamBana,xiwisuwa,xEwyAri
xava,vanahuwASana,sanwAna,SacI,viRNuraWa
apsaras,yakRa,Sarajanman,KageSvara,inxrANI
kRAra,BUwi,SAkyasiMha,ka,pinAka
unmAxana,wApana,xaSabala,veXas,vEXAwra
saFjvara,sanwApa,BUwa,pAwAla,pramaWa
anavarawa,sawawa,arcis,AwmaBU,mAheSvarI
samanwaBaxra,xaSabala,uRApawi,puruRowwama,samAna
SakwiXara,mahAsena,viRvaksena,aniruxXa,nIlowpala
paxma,paxma,xEweya,niwAnwa,aNdaja
rAkRasa,kONapa,ASvineyO,viSvarUpa,kimpuruRa
nirBara,balavaw,munInxra,vqRaXvaja,pASin
aBramuvallaBa,aBramAwafga,mAXava,ASvineyO,Bqfgin
lakRmI,inxirA,bahula,barhirmuKa,rakRA
mahAvAwa,prakampana,svarNaxI,saxAgawi,surAlaya
halAyuXa,balaxeva,pramaWa,musalin,vyomayAna
Elavila,rAjarAja,ambikA,pramaWa,kRAra
pAwAla,vAdava,vadavAnala,suXarmA,halin
surAlaya,rawnasAnu,kamalA,sanwAna,SevaXi
kinnara,mayu,wArkRya,hiraNyagarBa,pIyURa
SEvya,sugrIva,SevaXi,cUwa,kamaloxBava
svarNaxI,suraxIrGikA,apsaras,agnikaNa,suXarmA
xevasaBA,suXarmA,vimAna,suXarmA,makaraXvaja
ambikA,vqRAkapAyI,pAriRaxa,AwaFcana,aSrAnwa
pinAka,ajagava,kravyAx,apsaras,syaxa
BUwi,viBUwi,jayanwa,kumAra,aniruxXa
Safkara,ruxra,AnakaxunxuBi,sanwAna,xivOkas
jayanwa,pAkaSAsani,balAhaka,xevasaBA,ASvineyO
SevaXi,SafKa,SacI,aSvinIsuwa,aBiwas
vEXAwra,sanawkumAra,pAriRaxa,guhyaka,AnakaxunxuBi
mukunxa,baliXvaMsin,hiraNyarewas,mArajiw,SacI
aBra,meGa,marIcikA,viSAKA,pAripArSvaka
pariXi,upasUryaka,kOmuxI,bimba,paScima
meGajyowi,irammaxa,prasannawA,hima,meGanirGoRa
Cavi,CAyA,xyowa,SraviRTA,SakraXanus
uxak,uwwara,mATara,himAnI,vajranirGoRa
BOma,mahIsuwa,wArakA,irammaxa,sOxAminI
pqRaw,ambukaNa,KaNda,bqhaspawi,wIkRNa
apaxiSam,vixiS,ASA,gqha,rAXA
