kapiH,yatiH,giriH,kaviH,asiH,agniH,raviH,fziH,ariH,vyADiH,niDiH,alIH,pratiniDiH,jalaDiH,BUpatiH,nfpatiH,narapatiH,brahmarziH,vanaspatiH,upADiH,aYjaliH,atiTiH,rASiH,sAraTiH
kapI,yatI,girI,kavI,asI,agnI,ravI,fzI,arI,vyADI,niDI,alyA,pratiniDI,jalaDI,BUpatI,nfpatI,narapatI,brahmarzI,vanaspatI,upADI,aYjalI,atiTI,rASI,sAraTI
kapayaH,yatayaH,girayaH,kavayaH,asayaH,agnayaH,ravayaH,fzayaH,arayaH,vyADayaH,niDayaH,alyaH,pratiniDayaH,jalaDayaH,BUpatayaH,nfpatayaH,narapatayaH,brahmarzayaH,vanaspatayaH,upADayaH,aYjalayaH,atiTayaH,rASayaH,sAraTayaH
kape,yate,gire,kave,ase,agne,rave,fze,are,vyADe,niDe,adaDe,pratiniDe,jalaDe,BUpate,nfpate,narapate,brahmarze,vanaspate,upADe,aYjale,atiTe,rASe,sAraTe
kapim,yatim,girim,kavim,asim,agnim,ravim,fzim,arim,vyADim,niDim,alyam,pratiniDim,jalaDim,BUpatim,nfpatim,narapatim,brahmarzim,vanaspatim,upADim,aYjalim,atiTim,rASim,sAraTim
kapIn,yatIn,girIn,kavIn,asIn,agnIn,ravIn,fzIn,arIn,vyADIn,niDIn,alyaH,pratiniDIn,jalaDIn,BUpatIn,nfpatIn,narapatIn,brahmarzIn,vanaspatIn,upADIn,aYjalIn,atiTIn,rASIn,sAraTIn
kapinA,yatinA,giriRA,kavinA,asinA,agninA,raviRA,fziRA,ariRA,vyADinA,niDinA,alyA,pratiniDinA,jalaDinA,BUpatinA,nfpatinA,narapatinA,brahmarziRA,vanaspatinA,upADinA,aYjalinA,atiTinA,rASinA,sAraTinA
kapiByAm,yatiByAm,giriByAm,kaviByAm,asiByAm,agniByAm,raviByAm,fziByAm,ariByAm,vyADiByAm,niDiByAm,alIByAm,pratiniDiByAm,jalaDiByAm,BUpatiByAm,nfpatiByAm,narapatiByAm,brahmarziByAm,vanaspatiByAm,upADiByAm,aYjaliByAm,atiTiByAm,rASiByAm,sAraTiByAm
kapiBiH,yatiBiH,giriBiH,kaviBiH,asiBiH,agniBiH,raviBiH,fziBiH,ariBiH,vyADiBiH,niDiBiH,alIBiH,pratiniDiBiH,jalaDiBiH,BUpatiBiH,nfpatiBiH,narapatiBiH,brahmarziBiH,vanaspatiBiH,upADiBiH,aYjaliBiH,atiTiBiH,rASiBiH,sAraTiBiH
kapaye,yataye,giraye,kavaye,asaye,agnaye,ravaye,fzaye,araye,vyADaye,niDaye,alye,pratiniDaye,jalaDaye,BUpataye,nfpataye,narapataye,brahmarzaye,vanaspataye,upADaye,aYjalaye,atiTaye,rASaye,sAraTaye
kapiByaH,yatiByaH,giriByaH,kaviByaH,asiByaH,agniByaH,raviByaH,fziByaH,ariByaH,vyADiByaH,niDiByaH,alIByaH,pratiniDiByaH,jalaDiByaH,BUpatiByaH,nfpatiByaH,narapatiByaH,brahmarziByaH,vanaspatiByaH,upADiByaH,aYjaliByaH,atiTiByaH,rASiByaH,sAraTiByaH
kapeH,yateH,gireH,kaveH,aseH,agneH,raveH,fzeH,areH,vyADeH,niDeH,alyaH,pratiniDeH,jalaDeH,BUpateH,nfpateH,narapateH,brahmarzeH,vanaspateH,upADeH,aYjaleH,atiTeH,rASeH,sAraTeH
kapInAm,yatInAm,girIRAm,kavInAm,asInAm,agnInAm,ravIRAm,fzIRAm,arIRAm,vyADInAm,niDInAm,alInAm,pratiniDInAm,jalaDInAm,BUpatInAm,nfpatInAm,narapatInAm,brahmarzIRAm,vanaspatInAm,upADInAm,aYjalInAm,atiTInAm,rASInAm,sAraTInAm
kapO,yatO,girO,kavO,asO,agnO,ravO,fzO,arO,vyADO,niDO,aliDO,pratiniDO,jalaDO,BUpatO,nfpatO,narapatO,brahmarzO,vanaspatO,upADO,aYjalO,atiTO,rASO,sAraTO
kapyoH,yatyoH,giryoH,kavyoH,asyoH,agnyoH,ravyoH,fzyoH,aryoH,vyADyoH,niDyoH,alyoH,pratiniDyoH,jalaDyoH,BUpatyoH,nfpatyoH,narapatyoH,brahmarzyoH,vanaspatyoH,upADyoH,aYjalyoH,atiTyoH,rASyoH,sAraTyoH
kapizu,yatizu,girizu,kavizu,asizu,agnizu,ravizu,fzizu,arizu,vyADizu,niDizu,alIzu,pratiniDizu,jalaDizu,BUpatizu,nfpatizu,narapatizu,brahmarzizu,vanaspatizu,upADizu,aYjalizu,atiTizu,rASizu,sAraTizu
tizWAmi,carvAmi,SasAmi,SIlAmi,patAmi,rajAmi,cyavAmi,DvarAmi,SoBAmi,smarAmi,DyAyAmi,ScotAmi,gUhAmi,lAYCAmi,lazAmi,kanAmi,KAdAmi,sApayAmi,pacAmi,hrasAmi,rakzAmi,indAmi,galAmi,vahAmi
tizWAvaH,carvAvaH,SasAvaH,SIlAvaH,patAvaH,rajAvaH,cyavAvaH,DvarAvaH,SoBAvaH,smarAvaH,DyAyAvaH,ScotAvaH,gUhAvaH,lAYCAvaH,lazAvaH,kanAvaH,KAdAvaH,sApayAvaH,pacAvaH,hrasAvaH,rakzAvaH,indAvaH,galAvaH,vahAvaH
tizWAmaH,carvAmaH,SasAmaH,SIlAmaH,patAmaH,rajAmaH,cyavAmaH,DvarAmaH,SoBAmaH,smarAmaH,DyAyAmaH,ScotAmaH,gUhAmaH,lAYCAmaH,lazAmaH,kanAmaH,KAdAmaH,sApayAmaH,pacAmaH,hrasAmaH,rakzAmaH,indAmaH,galAmaH,vahAmaH
